7,"p__ NOUN

historical 
1A woman's ankle-length cloak with armholes or sleeves.
1.1 A fur-lined cloak, especially as part of a hussar's uniform.",2/22/2019,pelisse,,/pɪˈliːs/,
11,"NOUN

mass noun
1Lush green vegetation.
1.1literary The fresh green colour of lush vegetation.
1.2literary A condition of freshness.",2/28/2019,verdure,,,
0 11,"NOUN

1mass noun A bright red mineral consisting of mercury sulphide, sometimes used as a pigment.辰砂
1.1 The bright red colour of ___.
as modifier ‘the blood coagulated in ___ threads’
2A day-flying moth with black and red wings, whose black and yellow caterpillars feed on groundsel and ragwort. ヒトリガ",3/1/2019,cinnabar,,,
,"NOUN

historical 
1A soldier in a light cavalry regiment which had adopted a dress uniform modelled on that of the Hungarian __s (now only in titles)
‘the Queen's Royal Irish ___s’
1.1 (in the 15th century) a Hungarian light horseman.",2/25/2019,hussar,,,
,"1Either of two large water lilies.
(also 'sacred ___') a red-flowered Asian lily (Nelumbo nucifera, family Nelumbonaceae).
(also 'Egyptian ___') a lily regarded as sacred in ancient Egypt (the white-flowered Nymphaea ___ and the blue-flowered N. caerulea, family Nymphaeaceae).
2Greek Mythology 
A plant whose fruit induced a dreamy forgetfulness and an unwillingness to leave.
3The flower of the sacred ___ as a symbol in Asian art and religion.
‘a myth of creation states that Buddha was born of a thousand-petalled gold ___’",2/27/2019,lotus,,,
0 0 8 12 12,"ADJECTIVE

(of a person) having an unemotional and stolidly calm disposition.
‘the ___ British character’",10/30/2018,phlegmatic,,,
9,"NOUN

mass noun
1A brilliant red pigment made from mercury sulphide (cinnabar).
1.1 A brilliant red colour.
‘a lateral stripe of ___’
as modifier ‘___ streaks of sunset’",2/26/2019,vermilion,,,
,"VERB

1no object, with adverbial of direction Move fast in a straight line because or as if driven by the wind.
‘we lie watching the clouds __ing across the sky’
‘three small ships were __ing before a brisk breeze’
2Scottish with object Slap, beat, or spank.
‘she __d me across the head’
1literary A mass of vapoury clouds or spray driven fast by the wind.
‘the water is glassy under a ___ of mist’
Scottish 
(of a person) naked.",3/4/2019,scud,,,
2,"a__ NOUN

usually __s
humorous, formal 
1An act of washing oneself.
‘the women performed their __s’
1.1 A ceremonial act of washing parts of the body or sacred containers.
1.2the __s British (in army slang) a building or room containing washing facilities and toilets.",3/2/2019,ablution,,,
,"VERB

[WITH OBJECT]
1Pour (something) out.
‘the combine __d a steady stream of grain’
1.1 (of a building or vehicle) discharge (the occupants)
‘an aircraft __ing paratroopers’
1.2 Bring up or vomit (food).
1.3 Yield or give up (funds, especially when dishonestly acquired)
2Remove the sediment from (a sparkling wine) after fermentation.
‘the wine is aged in the bottle before it is __d’",3/5/2019,disgorge,,,
,"PREPOSITION

(often preceding a date) approximately.
‘the church was built ___ 1860’",3/7/2019,circa,,,
7,"VERB

[WITH OBJECT]
Make English in form or character.
‘he __d his name to Goodman’
‘He obtained employment with the Parke family of Dunally House as a gardener circa 1840 and had to ___ his family name to Foley.’",3/3/2019,anglicize,"
(British anglicise)",,
7,"NOUN

mass noun
1Matter that settles to the bottom of a liquid; dregs.
‘the ice freezes the wine and ___ at the base of the cork’
1.1Geology Particulate matter that is carried by water or wind and deposited on the surface of the land or the seabed, and may in time become consolidated into rock.
‘there is a huge concentration of ___ in deltas’
count noun ‘it takes hundreds of thousands of years to turn the __s into carbonate rock’",3/6/2019,sediment,,,
,"NOUN

1archaic mass noun The equipment for a particular purpose.
2historical A carriage and horses with attendants.",3/8/2019,equipage,,,
0 7 10,"ADJECTIVE

1Spending money or using resources freely and recklessly; wastefully extravagant.
‘___ habits die hard’
2Having or giving something on a lavish scale.
‘the dessert was ___ with whipped cream’",3/12/2019,prodigal,,,
