2019-06-16, 12:35:00, 13:10:00, 35, 2640, "RailsTutorial 5.1.3"
2019-06-16, 13:45:00, 16:20:00, 155, 2795, "RailsTutorial 5章終わり"
2019-06-22, 14:55:00, 16:15:00, 80, 2875, "RailsTutorial 6.1.2"
2019-06-23, 13:30:00, 14:45:00, 75, 2950, "RailsTutorial 6.2.2"
2019-06-30, 11:15:00, 12:45:00, 90, 3040, "RailsTutorial 6.2.5"
2019-06-30, 13:20:00, 14:35:00, 75, 3115, "RailsTutorial 6章終わり"
2019-06-30, 14:50:00, 16:05:00, 75, 3190, "Progate Rails 3"
2019-07-01, 12:35:00, 15:05:00, 150, 3340, "RailsTutorial 7.1"
2019-07-12, 14:40:00, 15:45:00, 65, 3405, "RailsTutorial 7.2"
2019-07-13, 13:45:00, 15:05:00, 80, 3485, "RailsTutorial 7.3.3"
2019-07-13, 13:45:00, 15:05:00, 80, 3485, "RailsTutorial 7.3.3"
2019-07-14, 18:00:00, 18:15:00, 15, 3500, "RailsTutorial 7.3"
2019-07-15, 15:05:00, 17:55:00, 175, 3675, "RailsTutorial 7章終わり"
2019-07-15, 18:55:00, 21:20:00, 125, 3800, "Progate Rails 道場１"
2019-07-16, 12:35:00, 17:30:00, 295, 4095, "RailsTutorial 8章終わり"
2019-07-16, 18:25:00, 20:00:00, 95, 4190, "Progate Rails 4"
2019-07-17, 18:35:00, 19:35:00, 60, 4250, "RailsTutorial 9.1.1"
2019-07-17, 20:15:00, 21:10:00, 55, 4305, "RailsTutorial 9.1.2"
2019-07-18, 10:15:00, 12:25:00, 130, 4435, "RailsTutorial 9.1"
2019-07-18, 15:15:00, 17:35:00, 140, 4575, "RailsTutorial 9章終わり"
2019-07-18, 20:10:00, 21:10:00, 60, 4635, "Progate Rails 5"
2019-07-21, 10:15:00, 12:00:00, 105, 4740, "RailsTutorial 10.1.1"
2019-07-21, 15:00:00, 15:35:00, 35, 4775, "RailsTutorial 10.1.1"
2019-07-25, 11:35:00, 12:25:00, 50, 4825, "RailsTutorial 10.1.2"
2019-07-25, 12:50:00, 14:20:00, 90, 4915, "RailsTutorial 10.2.1"
2019-07-25, 15:10:00, 16:30:00, 80, 4995, "RailsTutorial 10.2"
2019-07-27, 15:30:00, 16:25:00, 55, 5050, "RailsTutorial 10.3.1"
2019-07-28, 12:00:00, 13:00:00, 60, 5110, "RailsTutorial 10.3.1"
2019-07-29, 15:05:00, 16:00:00, 55, 5165, "RailsTutorial 10.3"
2019-07-29, 16:50:00, 18:15:00, 85, 5250, "RailsTutorial 10章終わり"
2019-07-29, 20:05:00, 20:30:00, 25, 5275, "Progate Rails 道場2-2"
2019-07-30, 13:05:00, 13:55:00, 50, 5325, "RailsTutorial 11.1"
2019-08-01, 15:15:00, 16:10:00, 55, 5380, "RailsTutorial 11.2"
2019-08-07, 07:25:00, 10:00:00, 155, 5535, "RailsTutorial 11章　読み"
2019-08-07, 12:45:00, 13:25:00, 40, 5575, "RailsTutorial 11.3"
2019-08-08, 13:35:00, 18:10:00, 275, 5850, "RailsTutorial 11章　終わり"
2019-08-09, 09:30:00, 11:50:00, 140, 5990, "RailsTutorial 12章　読み"
2019-08-10, 06:00:00, 08:00:00, 120, 6110, "RailsTutorial 13.1　読み"
2019-08-10, 13:00:00, 16:05:00, 185, 6295, "RailsTutorial 12.2.1 書き"
2019-08-10, 16:05:00, 17:15:00, 70, 6365, "RailsTutorial 13.3.1　読み"
2019-08-11, 12:00:00, 14:00:00, 120, 6485, "RailsTutorial 13　読み"
